"","Version","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan"
"Mav CC 1","Consumption of RM","391782","362395","391299","436955","359549","465563","479414","376709","370742","425171","373923","420088"
"Mav CC 1","Off Setng Stock Adjj","393219","415894","444008","378706","412989","411268","362598","374543","414172","467083","359501","447227"
"Mav CC 1","Con. Purchase Accoun","363272","397225","439538","438483","381893","482850","362153","480805","351493","478841","402854","359458"
"Mav CC 1","Con. Purchase Off Ac","406936","469031","387579","396262","444945","449846","351292","388324","447898","405545","450555","369604"
"Mav CC 1","Personnel Cost - Others","2375287","2516327","2421393","2460097","2369728","2632832","2538466","2440361","2552276","2512418","2435077","2450483"
"Mav CC 1","Medical Insurance","431320","457755","373494","386773","388522","450474","374586","371025","380566","399936","382405","480511"
"Mav CC 1","Visa Charges","420928","378683","425507","410592","423781","382485","407518","374607","432008","351249","375740","380486"
"Mav CC 1","Staff Recreation Exp","428903","408284","414985","435930","412161","391836","427103","362114","374176","425591","460258","377794"
"Mav CC 1","Personnel Cost Reimb","360827","426972","413503","403029","369059","458989","464828","428611","458777","458568","478103","466427"
"Mav CC 1","Staff Medical Expens","370314","432084","399311","385956","385320","471984","385054","435207","441073","403903","350147","353862"
"Mav CC 1","Consultancy / Contractor Charges","362995","412549","394593","437817","390885","477064","479377","468797","465676","473171","388424","391403"
"Mav CC 1","Personnel Cost - Payroll","4958600","5147080","4954713","4961570","5068171","4923782","5177430","5083663","4803471","4953688","4886597","5202596"
"Mav CC 1","Staff Refresh -Expenenses","467348","418743","421216","398165","470533","366190","433854","379299","477297","440510","426266","453602"
"Mav CC 1","Basic Salary","379531","405502","464253","393495","350876","465837","400512","458073","419354","378096","443448","381734"
"Mav CC 1","Special Allowance","427823","473174","457841","434422","384526","438215","416416","421724","387226","414146","476343","458029"
"Mav CC 1","House Rent Allowance","453642","448493","394862","459650","452065","444311","483880","448767","353250","397511","417946","441915"
"Mav CC 1","Transport Allowance","367666","455859","459016","468636","353125","353092","369174","385940","371377","473551","389043","436136"
"Mav CC 1","Overtime Wages","432951","417955","428347","434592","449294","360738","449708","459866","378247","370421","398278","355305"
"Mav CC 1","Gratuity","411537","352391","386115","359732","378114","456827","448622","421470","356690","418191","390846","461547"
"Mav CC 1","Risk Allowance","475184","439798","362171","405004","416727","436907","477576","481060","351297","467019","366417","358347"
"Mav CC 1","Air Fare","401367","443197","461691","454428","418111","442210","394686","355805","365330","387948","424533","468785"
"Mav CC 1","PF","372598","364978","383709","424527","484802","402295","465595","405691","474981","364278","377635","453781"
"Mav CC 1","Other Reimbursement","358904","457363","372256","350516","471576","385743","452137","483921","440703","454959","352594","465127"
"Mav CC 1","Refreshment Expenses","410049","469627","363236","378403","438422","371417","385270","382047","427719","387058","423248","468288"
"Mav CC 1","Rent","746127","826190","834304","885856","756307","752655","774538","781611","796004","865146","711517","872712"
"Mav CC 1","Office Rent","382647","353257","376467","466780","380240","381490","386394","405864","404093","460664","358073","463726"
"Mav CC 1","W/H & MFC Rent","363480","472933","457837","419076","376067","371165","388144","375747","391911","404482","353444","408986"
"Mav CC 1","Repair & Maintenance (Equipment, Electricals, IT, MFH & others)","445990","371614","381875","417867","458236","361631","473767","482550","453113","379166","441729","446363"
"Mav CC 1","SAP Expenses","477770","361251","481563","481924","404465","442143","394325","455959","435100","367512","480654","468100"
"Mav CC 1","Selling & Distribution","1538734","1646636","1777252","1593225","1508380","1621624","1649137","1736389","1682036","1614768","1668337","1743516"
"Mav CC 1","Bad Debts Wrt Off","384082","453840","406804","354489","393403","460319","471387","440096","442176","411335","458235","447369"
"Mav CC 1","Carriage Outward.","352301","403452","409123","406424","396394","371320","353857","475081","459972","392187","372114","392851"
"Mav CC 1","Barcode Labels","352334","350161","479855","477440","358047","355217","444369","422260","415553","429230","424073","446990"
"Mav CC 1","S&D Reimbursement Ac","450017","439183","481470","354872","360536","434768","379524","398952","364335","382016","413915","456306"
"Mav CC 1","Travelling & Conveyance","781399","777588","787733","844134","798972","841388","813260","785891","855804","930144","922767","928389"
"Mav CC 1","Outstation Conveyance","360177","421592","365995","417576","369014","484805","401985","361866","398412","465259","470257","484860"
"Mav CC 1","Local Conveyance","421222","355996","421738","426558","429958","356583","411275","424025","457392","464885","452510","443529"
"Mav CC 1","Discount","2872750","2799575","3093965","3013339","2902357","2921008","2866437","2763067","2891946","3132654","3035124","2825884"
"Mav CC 1","Trd Disc","357131","434927","470067","452730","449089","399805","356865","403778","421629","429035","391647","420994"
"Mav CC 1","Cash Discount - Van","455007","399147","477366","427052","395311","466542","355933","361110","448759","469344","466320","464573"
"Mav CC 1","Cash Discount Paid","465479","378726","474581","484952","409873","381519","453622","367500","419521","437605","482499","391017"
"Mav CC 1","Inv Roundng off","400606","418045","445670","463414","450321","471928","442326","369298","409497","478718","441286","357738"
"Mav CC 1","Promo Discount","356934","376415","455840","411320","374392","397588","461847","417889","408742","476594","358305","386668"
"Mav CC 1","Material Discount","451053","392328","374416","402678","456530","373680","423787","470677","362676","448787","457912","424453"
"Mav CC 1","Brand Discount","386540","399987","396025","371193","366841","429946","372057","372815","421122","392571","437155","380441"
"Mav CC 1","Rebates","1316959","1182712","1336966","1259496","1251766","1216621","1378027","1234057","1252643","1286596","1155289","1278518"
"Mav CC 1","Brand Spend - Cust","376379","400343","464412","373960","402536","386360","477664","367600","380588","350122","370903","467516"
"Mav CC 1","Brand Spend - Mat","461034","392167","476604","413596","478670","386756","423114","472888","464372","476334","411083","361346"
"Mav CC 1","Brand Spend - Brand","479546","390202","395950","471940","370560","443505","477249","393569","407683","460140","373303","449656"
"Mav CC 1","Business Promo Exp","425139","405151","425388","376600","423872","439334","365023","387833","394209","351322","373912","449704"
"Mav CC 1","Brand - Promotional Expenses","406875","413895","433043","378863","438152","430175","390372","454053","400967","376556","440714","430137"
"Mav CC 1","Management Charges","960476","854301","791565","854822","806794","765037","819129","860813","908665","809657","893864","797430"
"Mav CC 1","Exp - Management","475690","376568","415549","395260","440359","389977","441492","464026","445597","450151","457292","401794"
"Mav CC 1","Mgt Fees","484786","477733","376016","459562","366435","375060","377637","396787","463068","359506","436572","395636"
"Mav CC 1","Trade - Promotional Expenses","4151949","4324834","4228630","4364136","4137708","4250596","4261434","4115914","4152281","4046615","4038821","4088464"
"Mav CC 1","Sales Promotional Expenses","2507539","2519629","2645134","2522476","2355622","2529501","2646618","2572518","2525306","2389779","2430021","2504266"
"Mav CC 1","Cost Sheet Overhead Account","425903","466474","432443","440564","396544","410333","470368","463191","478430","377592","448204","429896"
"Mav CC 1","JBC Exp","445424","378068","391508","365391","371318","433999","350877","433913","372756","398238","382095","448174"
"Mav CC 1","Sp Scheme Exp","461462","376309","484576","484296","426948","433283","457674","467104","379928","359717","395572","421219"
"Mav CC 1","Visibility/CN -Own","358200","420180","480922","464923","356814","434649","483881","464379","447231","470272","440659","377193"
"Mav CC 1","Brand Rebate - Own E","422946","410815","401543","350458","410509","416550","460265","383274","399407","350650","379460","458117"
"Mav CC 1","Special Scheme Expen","393604","467783","454142","416844","393489","400687","423553","360657","447554","433310","384031","369667"
"Mav CC 1","Shelf & Listing Fees","1644410","1805205","1583496","1841660","1782086","1721095","1614816","1543396","1626975","1656836","1608800","1584198"
"Mav CC 1","Listing Fee - Own Ex","425236","477001","354214","468799","458319","402062","434762","387929","408044","446906","394553","453669"
"Mav CC 1","Opening Contribution","377428","401205","441520","484312","449280","477159","398013","360376","402638","472461","398032","360886"
"Mav CC 1","Shelf Rental Expense","445079","459413","434102","410783","470956","473714","387132","376407","464048","370557","418736","412118"
"Mav CC 1","Listing Fee Expenses","396667","467586","353660","477766","403531","368160","394909","418684","352245","366912","397479","357525"
"Mav CC 1","Govt., Legal & Professional","1334692","1210498","1307860","1192007","1239890","1323920","1218895","1257333","1277004","1246709","1164528","1254342"
"Mav CC 1","Audit Fees","438895","363064","480145","362651","418829","459875","367664","430463","461123","355872","363863","417425"
"Mav CC 1","Income / Corporate Tax","440537","389351","373422","434325","435511","476094","380172","457272","400387","408546","446828","443466"
"Mav CC 1","Govt. & Legal Expense Reimbursement Account","455260","458083","454293","395031","385550","387951","471059","369598","415494","482291","353837","393451"
"Mav CC 1","Depreciation","400000","2100000","5400000","2200000","5500000","4400000","2200000","7500000","4300000","2400000","3200000","5400000"
"Mav CC 1","Dep - Buildings","44444.45","233333.34","600000","244444.44","611111.11","488888.89","244444.44","833333.32","477777.79","266666.66","355555.56","599999.99"
"Mav CC 1","Dep - Furni & Fix","44444.44","233333.32","600000.01","244444.43","611111.11","488888.88","244444.45","833333.32","477777.78","266666.67","355555.55","600000.01"
"Mav CC 1","Dep - Office Equip","44444.45","233333.33","600000","244444.44","611111.1","488888.89","244444.44","833333.34","477777.78","266666.67","355555.56","599999.99"
"Mav CC 1","Dep - Computers","44444.44","233333.33","600000","244444.45","611111.12","488888.89","244444.44","833333.34","477777.76","266666.66","355555.56","600000"
"Mav CC 1","Deprec - Software 1","44444.44","233333.33","599999.99","244444.45","611111.11","488888.89","244444.44","833333.34","477777.79","266666.67","355555.55","600000.01"
"Mav CC 1","Dep - Elect Fittings","44444.45","233333.34","599999.99","244444.45","611111.1","488888.88","244444.45","833333.34","477777.78","266666.67","355555.56","600000.01"
"Mav CC 1","Dep - Machinery","44444.45","233333.34","600000","244444.44","611111.11","488888.89","244444.45","833333.34","477777.76","266666.67","355555.56","599999.99"
"Mav CC 1","Amortization","44444.44","233333.34","600000.01","244444.45","611111.12","488888.9","244444.44","833333.32","477777.78","266666.67","355555.56","600000"
"Mav CC 1","Depreciation Manual","44444.44","233333.33","600000","244444.45","611111.12","488888.89","244444.45","833333.34","477777.78","266666.66","355555.54","600000"
"Mav CC 1","Certifcation Charge- Audit","8333.34","8333.34","8333.33","8333.33","8333.33","8333.33","8333.34","8333.33","8333.34","8333.33","8333.33","8333.33"
"Mav CC 1","Interest & Bank Charges","810230","915159","861387","823786","861039","723342","945612","935651","831403","940815","800976","851601"
"Mav CC 1","Bank Charges","438760","483738","484192","428075","422449","358302","478224","477390","403274","459564","380759","437731"
"Mav CC 1","Interest on Term Loan","371470","431421","377195","395711","438590","365040","467388","458261","428129","481251","420217","413870"
"Mav CC 2","COGS","3393199","3391121","3328505","3494931","3414093","3413528","3378843","3264417","3529156","3340012","3346094","3366211"
"Mav CC 2","Cost of Goods Sold","2536006","2514928","2620266","2536298","2463880","2622180","2539770","2492950","2719152","2515672","2465203","2546480"
"Mav CC 2","Gross Profit Diff","398121","405840","377879","443108","419969","448645","443977","424713","454502","444929","434806","437574"
"Mav CC 2","Cost of Goods Sold","467708","466094","454248","395253","384541","396965","453864","417003","474215","453521","354152","447154"
"Mav CC 2","Price Dif - Trd Art","382127","397668","446453","447467","389265","465992","353928","440942","438794","362333","373409","469043"
"Mav CC 2","SIS Purchase Offset","416068","449247","423221","382504","369316","472874","459298","401138","467685","420164","427238","448134"
"Mav CC 2","Excess Margin Reimbu","446099","419186","434208","393813","425584","480799","445282","416107","432796","470679","459335","359994"
"Mav CC 2","Brand Management Fee","425883","376893","484257","474153","475205","356905","383421","393047","451160","364046","416263","384581"
"Mav CC 2","FOC Goods","857193","876193","708239","958633","950213","791348","839073","771467","810004","824340","880891","819731"
"Mav CC 2","COGS - FOC","464915","417303","354856","480555","474227","388662","364598","363015","359887","396210","418317","390491"
"Mav CC 2","Advertisement & Promotions Goods","392278","458890","353383","478078","475986","402686","474475","408452","450117","428130","462574","429240"
"Mav CC 2","Other Operational Expenses","22830868","22763816","22489470","21944692","22266265","22639967","22427096","22580652","22379362","22532076","22500020","22282100"
"Mav CC 2","Insurance - Property / Risk","434645","404899","362398","367992","435332","448736","444352","425317","366100","403199","361823","435352"
"Mav CC 2","Fines - Mnplty & Gvt","450021","404068","449269","419763","434861","417381","467608","460414","389707","406507","463277","369903"
"Mav CC 2","Communication & Utilities","2478280","2529263","2531632","2364563","2447368","2478180","2493536","2721971","2355508","2472634","2557093","2619344"
"Mav CC 2","Leased Line Chrgs","354225","363610","427735","405968","388439","398123","369256","477463","359494","448795","450888","367093"
"Mav CC 2","Internet Exp","439680","432727","379084","467054","400928","424719","414751","443336","374623","408844","355107","454504"
"Mav CC 2","Postage & Courier","414520","365881","438852","394265","380525","456579","468879","453768","448082","367365","456479","461661"
"Mav CC 2","Electricity Charges","395980","468418","447576","385371","469752","351348","467061","465798","403762","470798","443150","410419"
"Mav CC 2","Water Charges","404727","450392","422821","360375","421219","472385","421719","430221","419045","402689","474201","458943"
"Mav CC 2","Handset Allowance","469148","448235","415564","351530","386505","375026","351870","451385","350502","374143","377268","466724"
"Mav CC 2","Direct Expense","2565338","2599807","2532491","2431593","2416109","2594916","2455891","2415716","2472849","2372448","2391235","2516219"
"Mav CC 2","Price Dif - Art Revl","375724","359344","463231","372497","445621","472922","441917","435631","359562","393503","456816","438922"
"Mav CC 2","Carriage Inwards","476955","462433","358768","438435","412183","432028","464922","367661","435277","407187","461678","479955"
"Mav CC 2","Cnsmptn Art - Sample","451896","483293","459138","361797","363002","453228","377111","363374","350313","353437","373976","433882"
"Mav CC 2","GR W/O PO","406181","453712","417886","412212","366758","390402","363686","442026","376701","370008","369622","361826"
"Mav CC 2","Loading & Unloading","476960","391845","464500","409504","355890","411672","410300","438298","471048","374493","367579","382698"
"Mav CC 2","Demurrage Charges","377622","449180","368968","437148","472655","434664","397955","368726","479948","473820","361564","418936"
"Mav CC 2","Goods Damage / Expiry / Shortage","1259248","1251328","1229037","1262073","1230073","1202575","1234386","1242957","1189840","1244437","1254409","1328606"
"Mav CC 2","Procurement Loss","393911","483034","382921","370878","403340","418115","409942","461813","356657","389111","407747","412274"
"Mav CC 2","Goods Damage - WH/St","399013","361923","482765","430857","426323","417972","382077","407719","387197","425797","448110","458099"
"Mav CC 2","Goods Expiry A/c","466324","406371","363351","460338","400410","366488","442367","373425","445986","429529","398552","458233"
"Mav CC 2","Miscellaneous Expenses","2315053","1943767","2083838","2078145","2171934","2186764","2157892","2167920","2261512","2217988","2119166","2107567"
"Mav CC 2","Diff - Rounding Off","424532","356840","373754","428648","404668","449572","435841","357360","476058","456083","456570","409032"
"Mav CC 2","Cash Short","476683","374642","465754","413930","453085","355235","476220","425812","380827","450775","456404","375378"
"Mav CC 2","Donation","478334","447233","383285","476660","408567","456638","405650","457029","479127","467671","453701","450159"
"Mav CC 2","Other Exp","480137","414270","451812","382025","460221","449422","459700","475433","484289","434623","362685","422636"
"Mav CC 2","Small Diff - Inv","455367","350782","409233","376882","445393","475897","380481","452286","441211","408836","389806","450362"
"Mav CC 2","Offsetting Account","1744600","1742651","1614259","1739921","1617921","1632286","1519665","1664097","1547624","1742273","1676451","1634803"
"Mav CC 2","Consumption of RM","437544","452185","409707","410124","459279","357363","372057","389204","392219","471013","362815","430121"
"Mav CC 2","Off Setng Stock Adjj","477659","432569","407812","463178","454221","420853","424288","472084","371378","374432","382434","457125"
"Mav CC 2","Con. Purchase Accoun","455493","384396","352948","467997","351139","451850","371457","409669","433728","472472","456820","352407"
"Mav CC 2","Con. Purchase Off Ac","373904","473501","443792","398622","353282","402220","351863","393140","350299","424356","474382","395150"
"Mav CC 2","Personnel Cost - Others","2577099","2648666","2509022","2413936","2387198","2475497","2507270","2381297","2437463","2378503","2411201","2402723"
"Mav CC 2","Medical Insurance","400931","473602","442463","391061","457496","433884","425445","364913","421854","368953","421922","364608"
"Mav CC 2","Visa Charges","462060","461200","357940","412581","426659","367296","415724","367997","386804","409064","382399","365154"
"Mav CC 2","Staff Recreation Exp","433038","421265","474507","455837","371377","381039","425411","389137","426853","401459","359541","446978"
"Mav CC 2","Personnel Cost Reimb","467240","423708","375871","362375","391832","396892","474208","413359","364590","364900","428429","442389"
"Mav CC 2","Staff Medical Expens","448838","468611","415109","438813","354752","454158","402064","437623","399610","404430","439093","408197"
"Mav CC 2","Consultancy / Contractor Charges","364992","400280","443132","353269","385082","442228","364418","408268","437752","429697","379817","375397"
"Mav CC 2","Personnel Cost - Payroll","4923934","4958885","4907416","4843342","4905906","5075730","4870551","4813020","5126665","5121402","5054223","4803131"
"Mav CC 2","Staff Refresh -Expenenses","371095","354067","410349","450985","350007","367897","439623","381416","422391","476054","432968","393345"
"Mav CC 2","Basic Salary","412515","410521","457230","364598","462938","373681","445644","376473","361021","392646","396039","386056"
"Mav CC 2","Special Allowance","461060","361088","443708","360780","357395","482766","418109","419540","450642","465433","420493","375427"
"Mav CC 2","House Rent Allowance","454597","471096","405525","360419","421627","454262","367195","371989","388999","358832","408306","413985"
"Mav CC 2","Transport Allowance","428223","402565","372280","393000","437545","441139","391873","450118","449550","469214","422208","359812"
"Mav CC 2","Overtime Wages","375155","354150","424383","401391","399258","387894","404656","374888","364642","408357","373231","453788"
"Mav CC 2","Gratuity","376460","351191","371468","474144","364910","467436","408262","367142","417006","451207","458741","393017"
"Mav CC 2","Risk Allowance","451148","476933","375291","399860","405678","426832","380834","378118","461814","424012","479411","408339"
"Mav CC 2","Air Fare","408231","477731","408557","415660","365601","356569","380820","429656","468158","461366","416367","434458"
"Mav CC 2","PF","412771","408608","427941","377689","482189","350429","430541","453157","436390","423110","419277","366108"
"Mav CC 2","Other Reimbursement","389067","410014","353696","458284","434906","484727","390833","455993","438751","373770","394400","388200"
"Mav CC 2","Refreshment Expenses","383612","480921","456988","386532","423852","482098","412161","354530","467301","417401","432782","430596"
"Mav CC 2","Rent","797248","846426","923382","805046","810189","815132","917764","841934","906104","909001","819870","807828"
"Mav CC 2","Office Rent","361025","385650","455290","357801","385724","435745","475500","362859","424870","451469","451686","386797"
"Mav CC 2","W/H & MFC Rent","436223","460776","468092","447245","424465","379387","442264","479075","481234","457532","368184","421031"
"Mav CC 2","Repair & Maintenance (Equipment, Electricals, IT, MFH & others)","370666","363682","463444","375040","414560","441491","394878","484520","367533","454812","438624","473628"
"Mav CC 2","SAP Expenses","413294","444600","374257","474943","446724","356905","471497","462692","469458","435853","371350","361070"
"Mav CC 2","Selling & Distribution","1635501","1665862","1665467","1648169","1736613","1661442","1690215","1739644","1643642","1559223","1654781","1568004"
"Mav CC 2","Bad Debts Wrt Off","351720","415532","467624","425963","446514","350176","377642","441144","375735","388612","465783","382948"
"Mav CC 2","Carriage Outward.","391702","358599","442955","372016","401878","441974","422666","442199","402805","355845","416834","476285"
"Mav CC 2","Barcode Labels","457690","434016","354689","463678","439845","427845","467288","452242","460267","434648","377560","350156"
"Mav CC 2","S&D Reimbursement Ac","434389","457715","400199","386512","448376","441447","422619","404059","404835","380118","394604","358615"
"Mav CC 2","Travelling & Conveyance","865941","959912","843558","720166","811477","852932","801591","759153","845357","813796","926517","853922"
"Mav CC 2","Outstation Conveyance","444057","481720","426943","351751","374482","480935","395377","365677","445115","432706","451343","371425"
"Mav CC 2","Local Conveyance","421884","478192","416615","368415","436995","371997","406214","393476","400242","381090","475174","482497"
"Mav CC 2","Discount","2818313","2838142","2767070","2776812","2849862","2853725","2909310","2982128","2802439","3046690","2744214","2898651"
"Mav CC 2","Trd Disc","462151","404427","366202","400163","470087","359404","423493","443151","369077","484990","405146","418038"
"Mav CC 2","Cash Discount - Van","450529","428282","361961","419627","430923","484036","360412","390686","408805","483920","402296","484039"
"Mav CC 2","Cash Discount Paid","365483","401063","422813","370532","364267","411367","473734","436985","433180","454724","369660","359297"
"Mav CC 2","Inv Roundng off","354392","388147","413597","451018","364635","350969","360553","453236","397477","475711","394415","355792"
"Mav CC 2","Promo Discount","402125","388104","387297","383008","427087","398615","466712","453451","369167","356313","444545","470012"
"Mav CC 2","Material Discount","414004","352355","414650","394692","368256","390318","370559","386038","431104","433981","363178","392816"
"Mav CC 2","Brand Discount","369629","475764","400550","357772","424607","459016","453847","418581","393629","357051","364974","418657"
"Mav CC 2","Rebates","1412306","1344869","1192854","1189550","1359343","1320487","1197820","1266312","1151423","1210755","1300910","1210820"
"Mav CC 2","Brand Spend - Cust","475857","467370","402224","439616","475829","433247","373387","476152","355984","378932","453344","446986"
"Mav CC 2","Brand Spend - Mat","452206","432876","358224","373980","454165","404101","427174","370882","430608","479897","474584","365382"
"Mav CC 2","Brand Spend - Brand","484243","444623","432406","375954","429349","483139","397259","419278","364831","351926","372982","398452"
"Mav CC 2","Business Promo Exp","389315","387603","384454","481969","465140","363579","402753","434523","458586","399391","466019","378497"
"Mav CC 2","Brand - Promotional Expenses","378829","370183","456561","411485","363410","405451","479579","437260","363416","360786","392660","479097"
"Mav CC 2","Management Charges","841601","786261","734547","884576","738739","919244","838148","915425","791471","804853","872880","824557"
"Mav CC 2","Exp - Management","389783","401724","376852","419886","377295","448175","397503","451098","428251","453800","391682","466837"
"Mav CC 2","Mgt Fees","451818","384537","357695","464690","361444","471069","440645","464327","363220","351053","481198","357720"
"Mav CC 2","Trade - Promotional Expenses","4142940","4035220","4176037","4051355","4041984","4042681","4153083","4401337","4024333","4047186","4260338","4357330"
"Mav CC 2","Sales Promotional Expenses","2452682","2498081","2438986","2323680","2469884","2464433","2484221","2594022","2295752","2314667","2641749","2635864"
"Mav CC 2","Cost Sheet Overhead Account","407542","369813","403897","427546","408323","422775","408409","420752","365665","380118","455096","393048"
"Mav CC 2","JBC Exp","377298","477117","429348","391415","443727","423093","459553","437593","368921","427438","479570","429103"
"Mav CC 2","Sp Scheme Exp","413827","446540","369203","397463","368798","473894","406477","461969","393557","373822","397589","434928"
"Mav CC 2","Visibility/CN -Own","469413","405877","394338","366585","385089","359931","395387","453852","424831","387329","472436","452120"
"Mav CC 2","Brand Rebate - Own E","411186","384035","452653","373227","479590","353775","391755","417403","384681","378212","380836","442964"
"Mav CC 2","Special Scheme Expen","373416","414699","389547","367444","384357","430965","422640","402453","358097","367748","456222","483701"
"Mav CC 2","Shelf & Listing Fees","1690258","1537139","1737051","1727675","1572100","1578248","1668862","1807315","1728581","1732519","1618589","1721466"
"Mav CC 2","Listing Fee - Own Ex","402603","370225","445381","414292","370403","380391","350781","403646","470801","454876","479449","392424"
"Mav CC 2","Opening Contribution","475562","379282","462211","444388","450983","406739","466147","480228","372410","411681","401255","413568"
"Mav CC 2","Shelf Rental Expense","351399","408284","398491","389860","362516","431566","392493","440084","415205","441859","375862","475487"
"Mav CC 2","Listing Fee Expenses","460694","379348","430968","479135","388198","359552","459441","483357","470165","424103","362023","439987"
"Mav CC 2","Govt., Legal & Professional","1289908","1171811","1198526","1245461","1343859","1196173","1213979","1393697","1254148","1251411","1322187","1250862"
"Mav CC 2","Audit Fees","456104","357901","363704","416556","484458","416106","411424","476561","407619","422031","483923","452338"
"Mav CC 2","Income / Corporate Tax","417415","359627","354239","356716","399984","391667","446026","481082","434803","409795","354103","400662"
"Mav CC 2","Govt. & Legal Expense Reimbursement Account","416389","454283","480583","472189","459417","388400","356529","436054","411726","419585","484161","397862"
"Mav CC 2","Depreciation","1470000","3010000","3080000","3780000","2170000","1890000","4480000","1540000","5320000","3570000","4620000","1470000"
